,date,Appliances,lights,T1,RH_1,T2,RH_2,T3,RH_3,T4,RH_4,T5,RH_5,T6,RH_6,T7,RH_7,T8,RH_8,T9,RH_9,T_out,Press_mm_hg,RH_out,Windspeed,Visibility,Tdewpoint,rv1,rv2,z_score,is_anomaly,rolling_mean,rolling_std,dynamic_z
103,2016-01-12 10:10:00,500,0,19.7,45.59,18.89,44.23,19.89,44.9,19.1666666666667,45.0266666666667,18.0,49.6566666666667,4.73,96.46666666666668,17.7,41.59,18.533333333333296,49.4,17.0,45.73,5.48333333333333,742.8833333333331,90.1666666666667,5.0,30.8333333333333,3.95,49.63420305866748,49.63420305866748,3.9239743607150754,True,89.16666666666667,107.84378373434811,3.8095226178760586
104,2016-01-12 10:20:00,450,0,19.73,47.793333333333294,18.9266666666667,44.23,19.89,44.9,19.36,45.36,18.0,49.5,5.03,96.56,17.7,41.5,18.5,49.26,17.0,45.6633333333333,5.66666666666667,742.966666666667,89.3333333333333,5.0,32.66666666666669,4.0,31.674663221929222,31.674663221929222,3.4362879097672687,True,89.86111111111111,110.01271444516364,3.273611515770769
227,2016-01-13 06:50:00,200,0,18.89,45.0,18.1818181818182,44.5409090909091,19.7,44.53,18.39,44.1633333333333,18.76,84.79,5.53,79.46666666666668,18.05,46.0807142857143,18.6428571428571,53.2642857142857,17.2,50.3266666666667,5.0833333333333295,753.716666666667,89.1666666666667,6.16666666666667,37.16666666666669,3.4,2.323044347576797,2.323044347576797,0.997855655028236,True,45.69444444444444,21.482150395212106,7.182965984166409
236,2016-01-13 08:20:00,180,20,18.79,43.933333333333294,18.0,43.45,19.5,43.9666666666667,18.29,43.7,18.2225,56.4725,5.56,79.4,17.79,41.7666666666667,18.39,50.2925,17.1,47.8,5.0,754.6,89.3333333333333,4.66666666666667,23.0,3.3333333333333295,34.47067062370479,34.47067062370479,0.8027810746491134,True,47.638888888888886,27.90795007916724,4.74277439710329
237,2016-01-13 08:30:00,350,30,18.79,43.9,18.0,43.363333333333294,19.4266666666667,43.7666666666667,18.23,43.6566666666667,18.2,55.8,5.5,79.4,17.76,41.43,18.39,50.03,17.1,47.4,5.0,754.75,89.0,4.5,24.5,3.3,27.745031157974157,27.745031157974157,2.4609150078716557,True,51.80555555555556,45.26374630169805,6.5879311548115895
238,2016-01-13 08:40:00,350,20,18.79,43.9,18.0,43.363333333333294,19.39,43.59,18.496666666666705,43.863333333333294,18.2,55.7333333333333,5.46666666666667,79.06,17.7,41.23,18.29,49.76,17.1,47.0666666666667,5.0,754.9,88.6666666666667,4.3333333333333295,26.0,3.2666666666666706,21.481220389250662,21.481220389250662,2.4609150078716557,True,55.97222222222222,57.30225574357472,5.131172830150705
239,2016-01-13 08:50:00,300,30,18.79,44.0,18.0,43.4,19.39,43.59,18.823333333333295,44.0,18.26,56.66,5.4,79.1266666666667,17.7,41.0266666666667,18.29,49.6266666666667,17.0,46.723333333333294,5.0,755.0499999999998,88.3333333333333,4.16666666666667,27.5,3.2333333333333294,22.63600314036012,22.63600314036012,1.973228556923849,True,59.44444444444444,64.10574206640308,3.752480632801649
240,2016-01-13 09:00:00,400,20,18.8566666666667,44.06,18.066666666666695,43.4666666666667,19.39,43.59,19.03,44.0,18.29,56.66666666666671,5.5,79.1566666666667,17.7,40.8266666666667,18.29,49.363333333333294,17.0,46.42,5.0,755.2,88.0,4.0,29.0,3.2,15.322162944357842,15.322162944357842,2.948601458819462,True,64.16666666666667,75.6334749645372,4.440273747712872
241,2016-01-13 09:10:00,390,30,18.89,44.23,18.1333333333333,43.59,19.463333333333296,43.6633333333333,19.46,44.06,18.29,56.4666666666667,5.5,79.09,17.7,40.645,18.29,49.23,17.0,46.1566666666667,5.0,755.3166666666668,88.0,4.16666666666667,30.8333333333333,3.18333333333333,28.917697200085968,28.917697200085968,2.8510641686299008,True,68.75,84.81857190996013,3.787495978369285
314,2016-01-13 21:20:00,520,0,19.6,41.53,19.1333333333333,40.9,19.1333333333333,42.86,19.6333333333333,41.03,18.066666666666695,84.12333333333329,1.42666666666667,85.26,18.39,38.0,19.79,45.4266666666667,16.7,40.09,2.9,756.733333333333,88.6666666666667,5.0,36.33333333333329,1.23333333333333,13.360604154877365,13.360604154877365,4.1190489410941975,True,102.22222222222223,97.95403092917553,4.265039159846795
389,2016-01-14 09:50:00,390,30,18.6,43.29,18.23,42.03,19.1666666666667,42.33333333333329,18.6333333333333,42.0666666666667,17.4633333333333,49.5,2.29,94.62333333333329,17.6,38.863333333333294,18.29,46.09,16.79,45.645,1.8,748.8333333333329,95.5,5.5,39.16666666666669,1.16666666666667,48.165600816719234,48.165600816719234,2.8510641686299008,True,85.0,94.55604195619941,3.225600328546781
